doi,author_year,target_domain,effect_value,effect_unit,measurement,condition,source
10.1016/j.enbuild.2011.07.011,Kolokotroni_2013,thermal_air,1.7,degC,measured,"open office avg cooler during clear-sky high-solar periods after cool coating (albedo 0.1 to 0.6), London office","Aggarwal & Molleti 2024 full text, fetched"
10.1016/j.enbuild.2011.07.011,Kolokotroni_2013,energy,8.5,percent,modeled,"max total energy saving (range 1-8.5%), validated TRNSYS model, optimum reflectivity 0.6-0.7","Rawat & Singh 2022 full text, fetched"
10.1016/j.enbuild.2011.07.017,Bozonnet_2011,thermal_surface,10,degC,measured,"roof surface temp reduction with cool selective coating, monitored French residential case study","Rawat & Singh 2022 full text Table 2, fetched"
10.1016/j.enbuild.2011.07.023,Romeo_2013,thermal_surface,20,degC,measured,"roof surface temp reduction up to 20 degC over 24-h cycle, 700 m2 school roof Trapani, solar reflectance 0.859","Rawat & Singh 2022 full text, fetched"
10.1016/j.enbuild.2011.07.023,Romeo_2013,thermal_air,2.3,degC,measured,indoor operative temp reduction (review Table 1),"Rawat & Singh 2022 full text Table 1, fetched"
10.1016/j.enbuild.2011.07.023,Romeo_2013,energy,54,percent,measured,"cooling energy demand reduction, two-phase pre/post monitoring + numerical analysis","Rawat & Singh 2022 full text, fetched"
10.1016/j.enbuild.2011.09.011,Kolokotsa_2012,energy,19.8,percent,modeled,"annual energy saving (peak summer 27%), TRNSYS model validated against pre/post monitoring, lab building Crete, roof albedo 0.89","Rawat & Singh 2022 full text, fetched"
10.1016/j.enbuild.2012.01.044,Synnefa_2012,thermal_air,2.8,degC,modeled,"indoor air temp reduction, school building Athens, TRNSYS with roof reflectance 0.89 (validated against measurements)","Rawat & Singh 2022 full text, fetched"
10.1016/j.enbuild.2012.01.044,Synnefa_2012,energy,40,percent,modeled,annual cooling load reduction,"Rawat & Singh 2022 full text, fetched"
10.1016/j.enbuild.2013.10.031,Pisello_2014,thermal_air,4.7,degC,measured,"max summer peak attic overheating reduction, 2-year continuous monitoring, cool clay tile roof Perugia (winter overcooling penalty 1.2 degC)","Rawat & Singh 2022 full text, fetched"
10.1016/j.enbuild.2013.10.031,Pisello_2014,energy,24.3,percent,measured,"energy saving per review Table 1, residential cool clay tile roof","Rawat & Singh 2022 full text Table 1, fetched"
10.1016/j.enbuild.2015.06.043,Garg_2016,thermal_air,2,degC,measured,"avg indoor temp reduction up to 2.0 degC Hyderabad school (1.5 degC Nagpur; max 4.3/3.3 degC), unconditioned schools Mar-May 2014","Rawat & Singh 2022 full text, fetched"
10.1016/j.enbuild.2015.06.043,Garg_2016,thermal_surface,5.5,degC,measured,roof under-deck surface reduction Hyderabad (4.0 degC Nagpur; over-deck 14.3/9.5 degC),"Rawat & Singh 2022 full text, fetched"
10.1016/j.enbuild.2018.07.005,Kolokotroni_2018,thermal_surface,6.8,degC,measured,"avg internal ceiling surface temp reduction after cool roof paint, monitored single-storey Jamaica house","primary abstract (Semantic Scholar), fetched"
10.1016/j.enbuild.2018.07.005,Kolokotroni_2018,thermal_air,2.3,degC,measured,"avg internal air temp reduction, same monitored house","primary abstract (Semantic Scholar), fetched"
10.1016/j.enbuild.2018.07.005,Kolokotroni_2018,energy,190,kwh_m2,modeled,"annual cooling demand saving potential (~190 kWh/m2/yr, setpoint 24 degC), calibrated EnergyPlus models Jamaica/Brazil/Ghana; aging cuts savings 22-26 kWh/m2/yr","primary abstract (Semantic Scholar), fetched"
10.1016/j.enbuild.2020.110071,Green_2020,none,,,,study quantifies above-roof air temperature deviations and shows cool roof HVAC savings are underestimated 44-85% if ignored; no direct cooling effect size reported,"primary abstract (Semantic Scholar), fetched"
10.1016/j.enbuild.2021.110993,Saber_2021,none,,,,paper characterizes solar reflectivity loss from dust and recovery from cleaning (up to 45% reflectivity enhancement after water rinsing); no temperature or energy effect size in this paper (25-34% energy savings are in companion 2022 J Build Phys modeling paper),primary abstract (ScienceDirect page via web search); Aggarwal & Molleti 2024 full text
10.1016/j.energy.2015.01.092,Zingre_2015b,thermal_surface,15,degC,measured,"roof temp difference coated vs uncoated double-skin roof, paired naturally ventilated apartments Singapore","Rawat & Singh 2022 full text, fetched"
10.1016/j.energy.2015.01.092,Zingre_2015b,thermal_air,2.4,degC,measured,peak indoor temp decrease,"Rawat & Singh 2022 full text, fetched"
10.1016/j.energy.2015.01.092,Zingre_2015b,energy,51,percent,measured,daily heat gain reduction (0.21 kWh/m2) from white coating on double-skin roof,"Rawat & Singh 2022 full text, fetched"
10.1016/j.proenv.2017.03.103,Androutsopoulos_2017,thermal_air,1.75,degC,measured,"daily mean indoor air reduction, measured range 1.6-1.9 degC (simulated 1.3-2.3 degC), pilot school vs twin reference building Athens","primary abstract (Semantic Scholar), fetched"
10.1016/j.proenv.2017.03.103,Androutsopoulos_2017,energy,30,percent,modeled,"annual cooling demand reduction up to 30% (winter heating penalty 12%), validated dynamic simulation","primary abstract (Semantic Scholar), fetched"
10.1016/j.renene.2009.07.022,Ahmad_2010,energy,2.16,kwh_m2,measured,"daily AC energy saving: 45 kWh/day over 20.8 m2 anti-solar insulated roof = 2.16 kWh/m2 per day, Islamabad","Rawat & Singh 2022 full text, fetched"
10.1016/j.renene.2009.07.022,Ahmad_2010,thermal_surface,4.5,degC,measured,surface temp reduction of anti-solar coating (review Table 2),"Rawat & Singh 2022 full text Table 2, fetched"
10.1016/j.renene.2014.09.045,Zingre_2015a,thermal_surface,5.4,degC,measured,"roof surface temp reduction (review Table 1 avg; review body cites peak 14.1 degC), cool coating reflectance 0.74 on concrete roof, validated on real Singapore apartments","Rawat & Singh 2022 full text, fetched"
10.1016/j.renene.2014.09.045,Zingre_2015a,thermal_air,2.4,degC,measured,indoor air temp reduction,"Rawat & Singh 2022 full text, fetched"
10.1016/j.renene.2014.09.045,Zingre_2015a,energy,54,percent,measured,daily heat gain reduction (0.66 kWh/m2),"Rawat & Singh 2022 full text, fetched"
10.1016/j.scs.2015.03.003,Pisello_2015,energy,51,percent,measured,"max primary energy saving for cooling, continuously monitored 16th-century residence with cool clay tiles, central Italy (heating penalty <2%)","primary abstract (Univ. Perugia IRIS repository), fetched via web search"
10.1016/j.uclim.2017.02.002,Kyriakodis_2018,thermal_surface,11.5,degC,measured,"max surface temp reduction, cool non-aged asphalt, 37000 m2 Athens project, full-summer monitoring (aging can cut potential up to 50%)","primary abstract (Semantic Scholar), fetched"
10.1016/j.uclim.2017.02.002,Kyriakodis_2018,thermal_air,1.5,degC,measured,"ambient air temp reduction up to 1.5 degC, monitoring supported by CFD evaluation","primary abstract (Semantic Scholar), fetched"
10.1016/S0378-7788(96)01000-6,Parker_1997,energy,19,percent,measured,"cooling energy saving at site with typical insulation, 9 monitored Florida residences pre/post reflective coating (8 and 11.6 kWh/day for gravel and tile roofs)","Aggarwal & Molleti 2024 full text, fetched"
10.1016/S0378-7788(96)01001-8,Akbari_1997,energy,80,percent,measured,"seasonal cooling energy saving of monitored house (2.2 kWh/d, 80% of base case); school bungalows 35% (3.1 kWh/d); peak demand -0.6 kW, Sacramento","primary abstract (LBNL/eScholarship), fetched via web search"
10.1021/acs.est.5b04886,Cao_2015,thermal_air,1.2,degC,modeled,"avg urban midday air temp reduction during heat-wave events (0.8 degC typical summer weeks), citywide cool roof albedo simulation Guangzhou","primary abstract (OpenAlex), fetched"
10.1080/14733315.2012.11683966,Santamouris_2012a,thermal_air,3.4,degC,modeled,"estimated ambient temp reduction up to 3.4 K under peak summer conditions, Marousi rehabilitation design incl. 16000 m2 reflective pavements (evaluation simulations)","primary abstract (OpenAlex), fetched"
10.1080/17512549.2013.865560,Pisello_2013,thermal_surface,20,degC,measured,"roof overheating reduction up to 20 degC, continuously monitored industrial/office building Rome, summer 2012","primary abstract (OpenAlex), fetched; consistent with Rawat & Singh 2022"
10.1080/17512549.2013.865560,Pisello_2013,energy,34,percent,measured,cooling energy requirement reduction ~34% (review table cites 34-47%),"primary abstract (OpenAlex), fetched; Rawat & Singh 2022 Table 1"
10.1080/17512549.2014.890540,Arumugam_2014,thermal_air,1.07,degC,measured,"seasonal avg indoor air reduction (peak 1.38 degC in April; heat flux -14.4 W/m2; +8% comfort hours), 6-month monitored unconditioned building, coated vs uncoated roof sections","primary abstract (OpenAlex), fetched"
10.1088/1748-9326/7/1/014029,Gaffin_2012,thermal_surface,23.6,degC,measured,"avg daytime peak black vs white membrane temp difference, summer 2011, MoMA Queens NYC site (avg diurnal difference 6.6 degC)","primary full text (IOPscience), fetched"
10.1088/1748-9326/8/1/015023,Li_2013,thermal_surface,25,degC,measured,"peak evaporative cooling of watered permeable pavement surface, range 15-35 degC (midpoint reported), early-afternoon summer, instrumented test sections Davis CA","primary abstract (Semantic Scholar), fetched"
10.1088/1748-9326/ab87d4,Middel_2020,thermal_surface,5,degC,measured,"coated vs regular asphalt 4-6 degC lower (midpoint reported), MaRTy transects LA; note mean radiant temp +4 degC midday over coating","primary abstract (Semantic Scholar/Crossref), fetched"
10.1088/1748-9326/ab87d4,Middel_2020,thermal_air,0.5,degC,measured,afternoon air temp reduction; negligible after-sunset cooling,"primary abstract (Semantic Scholar/Crossref), fetched"
10.1088/1748-9326/ac58a8,Ko_2022,thermal_surface,5,degC,measured,"max neighborhood-averaged surface temp reduction for albedo +0.18 (0.08 to 0.26), 0.64 km2 Covina LA deployment","primary abstract (Semantic Scholar/Crossref), fetched"
10.1088/1748-9326/ac58a8,Ko_2022,thermal_air,0.2,degC,measured,max neighborhood-averaged air temp reduction (first field-measured air reduction for cool pavement),"primary abstract (Semantic Scholar/Crossref), fetched"
10.1088/2515-7620/ad2a8e,Taha_2024,thermal_air,1.9,degC,measured,"max street-segment-averaged air temp reduction, heatwave afternoons real-time comparison (afternoon means -0.2 degC RT / -1.2 degC difference-of-differences), Pacoima LA","primary abstract (Semantic Scholar/Crossref), fetched"
10.1088/2515-7620/ad2a8e,Taha_2024,thermal_surface,9.2,degC,measured,max surface temp reduction real-time (-12.2 degC difference-of-differences; afternoon means -2.6 RT / -4.9 DofD),"primary abstract (Semantic Scholar/Crossref), fetched"
10.3390/en8065303,Miller_2015,none,,,,field experiment and simulation confirm reductions in cooling consumption (kWh) and demand (kW) but no quantitative effect size reported in fetched abstract or review,"primary abstract (Semantic Scholar/Crossref), fetched; Aggarwal & Molleti 2024"
10.3390/ma14123431,Yang_2021,none,,,,monitored heat storage/dissipation efficiency of semi/fully permeable pavements vs depth; no surface or air temperature reduction effect size in fetched abstract,"primary abstract (Semantic Scholar/Crossref), fetched"
10.3390/su14084843,Park_2022,thermal_surface,5.6,degC,measured,"roof surface temp reduction, annual average incl. day/night, regression-controlled four-season field experiment Seoul","primary abstract (Semantic Scholar/Crossref), fetched"
10.3390/su14084843,Park_2022,thermal_air,0.56,degC,measured,"indoor air temp reduction of experimental model, annual average","primary abstract (Semantic Scholar/Crossref), fetched"
10.3390/w11122635,Cheng_2019,thermal_surface,17,degC,measured,"porous asphalt vs regular pavement on very hot days (permeable brick 14.3 degC; storm-event max 6.6 degC), 200 m sidewalk + 200 m bike lane Taipei","primary abstract (Semantic Scholar/Crossref), fetched"
10.4103/ijoem.ijoem_120_19,Vellingiri_2020,thermal_air,1,degC,measured,"mean indoor ambient temp, solar-reflective white paint on tin roof vs uncoated tin control households, Ahmedabad slums","primary full text (Europe PMC PMC7227734), fetched"
