record_id,doi,study_site,track,intervention,climate_tag,lcz_tag,author_year,title,journal,city,country,outcome,design,source_review
B040,10.1016/j.buildenv.2006.06.005,tbd:Levinson_2007,B,cool_roof,,,Levinson_2007,Cooler tile-roofed buildings with near-infrared-reflective non-white coatings,Building and Environment,TBD,USA,NIR-reflective non-white tile coatings reduced roof and attic temperatures,field demonstration measurements on tile-roofed buildings,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
B041,10.1016/j.buildenv.2006.06.017,tbd:Takebayashi & Moriyama 2007,B,greening,,,Takebayashi & Moriyama 2007,Surface heat budget on green roof and high reflection roof for mitigation of urban heat island,Building and Environment,TBD,Japan,green roof surface heat budget vs reflective roof,field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B042,10.1016/j.buildenv.2009.12.003,chania:Georgi & Dimitriou 2010,B,greening,,,Georgi & Dimitriou 2010,"The contribution of urban green spaces to the improvement of environment in cities: Case study of Chania, Greece",Building and Environment,Chania,Greece,green space cooling contribution,field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B043,10.1016/j.buildenv.2010.03.001,tbd:Fioretti et al. 2010,B,greening,,,Fioretti et al. 2010,Green roof energy and water related performance in the Mediterranean climate,Building and Environment,TBD,Italy,green roof energy and runoff performance,building monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
B044,10.1016/j.buildenv.2010.06.014,athens:Synnefa_2011,B,cool_roof,,,Synnefa_2011,Experimental testing of cool colored thin layer asphalt and estimation of its potential to improve the urban microclimate,Building and Environment,Athens,Greece,cool colored asphalt surface up to -12 C vs conventional asphalt,"outdoor field testing of colored asphalt specimens, July campaign",Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B045,10.1016/j.buildenv.2011.04.034,"lisbon:Oliveira, Andrade & Vaz 2011",B,greening,,,"Oliveira, Andrade & Vaz 2011",The cooling effect of green spaces as a contribution to the mitigation of urban heat: A case study in Lisbon,Building and Environment,Lisbon,Portugal,small green space cooling effect,paired site comparison,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
B046,10.1016/j.buildenv.2011.06.025,tbd:Mahmoud 2011,B,greening,,,Mahmoud 2011,Analysis of the microclimatic and human comfort conditions in an urban park in hot and arid regions,Building and Environment,TBD,Egypt,park microclimate and comfort in hot arid city,in-park field measurement,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
B047,10.1016/j.buildenv.2011.07.027,phoenix:Chow & Brazel 2012,B,greening,,,Chow & Brazel 2012,Assessing xeriscaping as a sustainable heat island mitigation approach for a desert city,Building and Environment,Phoenix,USA,landscaping/vegetation effect on heat island,field measurement + scenario analysis,Aram et al. 2019 Heliyon
B048,10.1016/j.buildenv.2011.08.004,"chicago:Mackey, Lee & Smith 2012",B,greening,,,"Mackey, Lee & Smith 2012",Remotely sensing the cooling effects of city scale efforts to reduce urban heat island,Building and Environment,Chicago,USA,cooling from implemented city-scale greening/albedo programs,remote sensing observational,Aram et al. 2019 Heliyon
B049,10.1016/j.buildenv.2011.08.011,hyderabad:Xu_2012,B,cool_roof,,,Xu_2012,Quantifying the direct benefits of cool roofs in an urban setting: Reduced cooling energy use and lowered greenhouse gas emissions,Building and Environment,Hyderabad,India,AC energy use -14 to -26%; ~20-22 kWh/m2/yr saving on coated roof area,detailed monitoring of commercial building cool roof retrofit,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B050,10.1016/j.buildenv.2011.11.020,"tel-aviv:Cohen, Potchter & Matzarakis 2012",B,greening,,,"Cohen, Potchter & Matzarakis 2012",Daily and seasonal climatic conditions of green urban open spaces in the Mediterranean climate and their impact on human comfort,Building and Environment,Tel Aviv,Israel,green space cooling and thermal comfort,seasonal field monitoring of green sites,Aram et al. 2019 Heliyon; also in Knight et al. 2021
B051,10.1016/j.buildenv.2012.01.022,"flisvos,-athens:Santamouris_2012b",B,cool_roof,,,Santamouris_2012b,Using cool paving materials to improve microclimate of urban areas - Design realization and results of the flisvos project,Building and Environment,"Flisvos, Athens",Greece,"pavement surface -7.6 C (4500 m2 colored IR-reflective concrete, albedo 0.60)",monitored large-scale park/promenade repaving,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B052,10.1016/j.buildenv.2012.11.004,rome:Carnielo_2013,B,cool_roof,,,Carnielo_2013,Optical and thermal characterisation of cool asphalts to mitigate urban temperatures and building cooling demand,Building and Environment,Rome,Italy,cool coated asphalt up to -10 C (off-white) vs aged asphalt,20-day outdoor monitoring of 4x4 m coated pavement fields,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B053,10.1016/j.buildenv.2014.03.003,beijing:Zhang et al. 2014,B,greening,,,Zhang et al. 2014,"The cooling effect of urban green spaces as a contribution to energy-saving and emission-reduction: a case study in Beijing, China",Building and Environment,Beijing,China,green space cooling translated to energy saving,observational analysis of green spaces,Aram et al. 2019 Heliyon
B054,10.1016/j.buildenv.2015.06.002,tbd:Heusinger & Weber 2015,B,greening,,,Heusinger & Weber 2015,Comparative microclimate and dewfall measurements at an urban green roof versus bitumen roof,Building and Environment,TBD,Germany,green roof vs bitumen roof microclimate,paired roof field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B055,10.1016/j.buildenv.2016.10.021,tbd:Solcerova et al. 2017,B,greening,,,Solcerova et al. 2017,Do green roofs cool the air?,Building and Environment,TBD,Netherlands,above-roof air temperature effect of green roofs,field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
B056,10.1016/j.buildenv.2017.02.020,nanjing:Yin et al. 2017,B,greening,,,Yin et al. 2017,"Cooling effect of direct green façades during hot summer days: an observational study in Nanjing, China using TIR and 3DPC data",Building and Environment,Nanjing,China,green facade surface cooling on hot days,thermal infrared observational study,Knight et al. 2021 Environ Evid (Additional file 7); also in Nasr et al. 2024 Energies review
B057,10.1016/j.buildenv.2018.05.033,guangzhou:Wang_2018,B,cool_roof,,,Wang_2018,Experimental investigation on the influence of evaporative cooling of permeable pavements on outdoor thermal environment,Building and Environment,Guangzhou,China,permeable pavement surface up to -10 C after irrigation; multi-height air temp profiles,4-day outdoor field campaign on 4x4 m pavement fields,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B058,10.1016/j.buildenv.2026.114550,seville:Montero-Gutierrez_2026,B,combined,,,Montero-Gutierrez_2026,Thermal comfort and energy performance of a passive urban climate shelter under extreme heat: Large-scale measurements at Cartuja Qanat Agora,Building and Environment,Seville,Spain,Implemented shelter combining solar blocking + water-fed radiant ceiling + ground/water heat exchange + evaporative night regeneration cut outdoor air temp >15C and MRT up to 8C; 80% of users thermally neutral,Large-scale experimental monitoring plus user comfort surveys of implemented multi-technology urban climate shelter,ScienceDirect via doi.org and Univ. of Seville repository
B059,10.1016/j.conbuildmat.2015.04.043,xi'an:Zheng_2015,B,cool_roof,,,Zheng_2015,Comparison and analysis on heat reflective coating for asphalt pavement based on cooling effect and anti-skid performance,Construction and Building Materials,Xi'an,China,heat-reflective coating surface -10 C vs asphalt,"outdoor field sections (2.5-10 m2), summer monitoring",Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B060,10.1016/j.cscm.2016.01.001,hyogo:Higashiyama_2016,B,cool_roof,,,Higashiyama_2016,Field measurements of road surface temperature of several asphalt pavements with temperature rise reducing function,Case Studies in Construction Materials,Hyogo,Japan,water-retaining pavements ~10-20 C cooler than conventional porous asphalt (>60 C),field measurements at two real construction sites,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
B061,10.1016/j.ecoleng.2016.06.050,toronto:MacIvor et al. 2016,B,greening,,,MacIvor et al. 2016,Air temperature cooling by extensive green roofs in Toronto Canada,Ecological Engineering,Toronto,Canada,extensive green roof air temperature cooling,field measurement of roofs,Knight et al. 2021 Environ Evid (Additional file 7); also in Nasr et al. 2024 Energies review
B062,10.1016/j.egypro.2017.07.348,geneva:Khoury_Alameddine_Hollmuller_2017,B,retrofit,,,Khoury_Alameddine_Hollmuller_2017,Understanding and bridging the energy performance gap in building retrofit,Energy Procedia,Geneva,Switzerland,measured post-retrofit consumption above predictions; performance gap in retrofit buildings analyzed,monitored post-retrofit consumption analysis (M&V),Sustainability 2024 16:7792 EPG-LCA review
B063,10.1016/j.enbuild.2004.11.013,"multiple-sites,-california:Akbari_2005",B,cool_roof,,,Akbari_2005,Monitoring the energy-use effects of cool roofs on California commercial buildings,Energy and Buildings,"multiple sites, California",USA,cooling energy savings 22-54%,monitored pre/post cool roof retrofits of commercial buildings,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B064,10.1016/j.enbuild.2005.02.001,"tbd:Lazzarin, Castellotti & Busato 2005",B,greening,,,"Lazzarin, Castellotti & Busato 2005",Experimental measurements and numerical modelling of a green roof,Energy and Buildings,TBD,Italy,green roof heat flux reduction (hospital building),building measurement + model,Nasr et al. 2024 Energies review (10.3390/en17205160)
B065,10.1016/j.enbuild.2006.01.007,five-urban-areas:Hong_Oreszczyn_Ridley_2006,B,retrofit,,,Hong_Oreszczyn_Ridley_2006,The impact of energy efficient refurbishment on the space heating fuel consumption in English dwellings,Energy and Buildings,five urban areas,UK,space-heating fuel use -10% (centrally heated) and -17% (non-central) after cavity/loft insulation; new gas central heating gave no net reduction,monitored field study of 1372 households (Warm Front) pre/post,Adan & Fuerst 2016 Energy Efficiency reference list; corroborated by fetched ScienceDirect abstract
B066,10.1016/j.enbuild.2010.05.030,not-specified:Hens_2010,B,retrofit,,,Hens_2010,Energy efficient retrofit of an end of the row house: confronting predictions with long-term measurements,Energy and Buildings,not specified,Belgium,long-term measured post-retrofit consumption compared against predictions in retrofitted row house,long-term monitored single-building case study (M&V),Sustainability 2024 16:7792 EPG-LCA review
B067,10.1016/j.enbuild.2011.07.011,london:Kolokotroni_2013,B,cool_roof,,,Kolokotroni_2013,Cool roof technology in London: An experimental and modelling study,Energy and Buildings,London,UK,surface/indoor temp -2.5 C; ~8.5% energy saving,monitored naturally ventilated office (flat roof reflective paint) + TRNSYS model,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B068,10.1016/j.enbuild.2011.07.017,poitiers:Bozonnet_2011,B,cool_roof,,,Bozonnet_2011,Cool roofs impact on building thermal response: A French case study,Energy and Buildings,Poitiers,France,significantly reduced external roof surface and indoor operative temps in summer,monitored residential building case study,Aggarwal & Molleti 2024 (10.3390/buildings14082257); also in Rawat & Singh 2022
B069,10.1016/j.enbuild.2011.07.023,"trapani,-sicily:Romeo_2013",B,cool_roof,,,Romeo_2013,Impact of a cool roof application on the energy and comfort performance in an existing non-residential building. A Sicilian case study,Energy and Buildings,"Trapani, Sicily",Italy,indoor operative temp -2.3 C; cooling energy -54%,two-phase pre/post monitoring of 700 m2 school roof,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B070,10.1016/j.enbuild.2011.09.011,"iraklion,-crete:Kolokotsa_2012",B,cool_roof,,,Kolokotsa_2012,"Numerical and experimental analysis of cool roofs application on a laboratory building in Iraklion, Crete, Greece",Energy and Buildings,"Iraklion, Crete",Greece,energy saving 19.8% (roof albedo 0.89),pre/post monitoring of laboratory building + simulation,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B071,10.1016/j.enbuild.2011.09.018,tbd:Getter et al. 2011,B,greening,,,Getter et al. 2011,Seasonal heat flux properties of an extensive green roof in a Midwestern U.S. climate,Energy and Buildings,TBD,USA,green roof heat flux reduction across seasons,instrumented roof monitoring,Knight et al. 2021 Environ Evid (Additional file 7); also in Nasr et al. 2024 Energies review
B072,10.1016/j.enbuild.2012.01.044,athens:Synnefa_2012,B,cool_roof,,,Synnefa_2012,Experimental and numerical assessment of the impact of increased roof reflectance on a school building in Athens,Energy and Buildings,Athens,Greece,indoor air temp -2.8 C; annual cooling load -40% (roof reflectance 0.89),pre/post cool coating on school building + validated simulation,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B073,10.1016/j.enbuild.2013.10.031,perugia:Pisello_2014,B,cool_roof,,,Pisello_2014,The thermal effect of an innovative cool roof on residential buildings in Italy: results from two years of continuous monitoring,Energy and Buildings,Perugia,Italy,summer peak attic overheating -4.7 C; winter overcooling only 1.2 C,two years continuous monitoring of cool clay tile roof on residential building,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
B074,10.1016/j.enbuild.2015.04.055,"athens:Karachaliou, Santamouris & Pangalou 2016",B,greening,,,"Karachaliou, Santamouris & Pangalou 2016",Experimental and numerical analysis of the energy performance of a large scale intensive green roof system installed on an office building in Athens,Energy and Buildings,Athens,Greece,intensive green roof building energy performance,building monitoring + simulation,Knight et al. 2021 Environ Evid (Additional file 7)
B075,10.1016/j.enbuild.2015.06.043,nagpur-and-hyderabad:Garg_2016,B,cool_roof,,,Garg_2016,Assessment of the impact of cool roofs in rural buildings in India,Energy and Buildings,Nagpur and Hyderabad,India,indoor temp -4.0 to -5.5 C in unconditioned school buildings,monitored two unconditioned school buildings Mar-May 2014,Rawat & Singh 2022; DOI verified via Crossref
